MKTO ; Classic
J Boog ; Let Me Love You
Loren Gray ; My Story
Major Lazer,MØ,DJ Snake ; Lean On
Zedd,Elley Duhé ; Happy Now
Throttle,Earth, Wind & Fire ; September - Throttle x Earth, Wind & Fire
ARTY ; Rain
The Archies ; Sugar, Sugar
The Beatles ; Here Comes The Sun - Remastered 2009
R5 ; Smile
Vice,Skizzy Mars,Jasmine Thompson ; Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
Panic! At The Disco ; High Hopes
Major Lazer,J Balvin,Sean Paul ; Buscando Huellas (feat. J Balvin & Sean Paul)
Sia,Kendrick Lamar ; The Greatest
Liam Payne,Quavo ; Strip That Down
Elvin Bishop ; Fooled Around And Fell In Love
Ariana Grande,Missy Elliott ; borderline (feat. Missy Elliott)
Bobby McFerrin ; Don't Worry Be Happy
RAC,Rostam ; This Song
Twenty One Pilots ; Stressed Out
Of Gentlemen & Cowards ; Blackjack
Aretha Franklin ; I Say a Little Prayer
The Beatles ; Here Comes The Sun - Remastered
Elle King ; Ex's & Oh's
CHVRCHES ; Miracle
Calvin Harris,Sam Smith,Jessie Reyez ; Promises (with Sam Smith)
The Isley Brothers ; Shout, Pt. 1 - Mono
Jessie J ; Queen
Giraff,Ed Struijlaart ; Top Of The World
Dusty Bottle ; Forever Summer
Bryce Vine ; Sour Patch Kids
Fifth Harmony ; BO$$
Marlena Shaw ; California Soul
OneRepublic,Logic ; Start Again (feat. Logic)
Jack Johnson ; Upside Down
J Balvin,Willy William ; Mi Gente
Sam Cooke ; (What A) Wonderful World
One Bit,Noah Cyrus ; My Way
Avicii ; For A Better Day
Poolside ; Harvest Moon
Anne-Marie ; 2002
Ellie Goulding ; Burn
George Harrison ; What Is Life
Owl City ; Fireflies
Charlie Puth ; How Long
Cheat Codes,Little Mix ; Only You (with Little Mix)
Weezer ; Island In The Sun
The New Schematics ; Small Talk
for KING & COUNTRY ; joy.
Nina Simone ; Feeling Good
Kool & The Gang ; Get Down On It
The Supremes ; Baby Love
The Isley Brothers ; Shout, Pts. 1 & 2
Kate Nash ; Merry Happy
Jason Mraz ; Back To The Earth
Sheryl Crow ; All I Wanna Do
P!nk ; Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass")
Queen ; Don't Stop Me Now
Darondo ; Didn't I
Kodaline ; Worth It
Justin Bieber ; Sorry
J Balvin,Willy William,Beyoncé ; Mi Gente (feat. Beyoncé)
Ariana Grande,Zedd ; Break Free
JAI ; Rockstar
Justin Bieber ; Love Yourself
Tame Impala ; Feels Like We Only Go Backwards
Sigala,Ella Eyre,Meghan Trainor,French Montana ; Just Got Paid
Jamiroquai ; Little L
Sean Paul,David Guetta,Becky G ; Mad Love
Billy Joel ; The River of Dreams
Jürgen Paape ; So Weit Wie Noch Nie
James Brown ; I Got You (I Feel Good)
The Mary Nixons,The Knocks,Mat Zo ; Adrian
Spin Doctors ; Two Princes
Keeno ; At Twilight
Queen ; Don't Stop Me Now - Remastered
The West Coast Feed ; You Belong to Me
Portugal. The Man ; Feel It Still
Jessie J,Ariana Grande,Nicki Minaj ; Bang Bang
Boney M. ; Rivers of Babylon
Calvin Harris,Ellie Goulding ; Outside
Rudimental,John Newman ; Feel The Love (feat. John Newman)
Matt Peach ; Hangover Heartbeat
NEW CITY,Watson ; Getting Closer - Watson Remix
Ina Wroldsen,Alok ; Favela
Common Kings ; Wade In Your Water
American Authors ; Best Day Of My Life
Kiiara ; Gold
Kolohe Kai ; Dream Girl
Taylor Swift ; 22
Vince Guaraldi,Bola Sete ; Ginza Samba
Florence + The Machine ; Hunger
Khalid ; Young Dumb & Broke
Pharrell Williams ; Happy - From "Despicable Me 2"
Yusuf / Cat Stevens ; If You Want To Sing Out, Sing Out
Katrina & The Waves ; Walking On Sunshine
Life of Dillon ; Dreams - Lost Kings Remix
Steve Angello,Tom Taped,Alex Aris ; Stockholm Skies (feat. Tom Taped & Alex Aris)
Boney M. ; Daddy Cool
