Mikky Ekko ; Time
killedmyself ; don't worry about me
XXXTENTACION ; NUMB
Kodaline ; Brother
ppgcasper,DeliverTheCrush ; Rock Out
Kat Dahlia ; I Think I'm In Love
Rita Ora ; Poison
Glee Cast ; Roots Before Branches (Glee Cast Version)
Alex & Sierra ; Little Do You Know
Kid Trunks,XXXTENTACION ; 777
Original God ; Paint A Smile On My Face
John Mayer ; Dreaming with a Broken Heart
CHRSBRRY ; Hey I Miss U
Céline Dion ; My Heart Will Go On - Love Theme from "Titanic"
The Neighbourhood ; Sweater Weather
Sam Smith,A$AP Rocky ; I'm Not The Only One
Milkavelli,Lil Peep ; ZZZ
Justin Bieber ; Life Is Worth Living
Beyoncé ; Best Thing I Never Had
Brennan Savage ; Scars
Maria Lynn ; Summer's Gone
mysticphonk,Lil Peep ; hate my life
nothing,nowhere. ; Tough Luck
Andrew Belle ; Make It Without You
Danger Incorporated,Larry League ; Love on the Internet
Katy Perry ; Unconditionally
Original God,Dietrich,Yungjzaisdead ; Worthless (ft. Dietrich & YungJZAisDead)
XXXTENTACION ; love yourself (interlude)
Tom Rosenthal ; There Isn't Nothing
Fiona Apple ; Love Ridden
Jess Glynne ; Take Me Home - BBC Children In Need Single 2015
Green Day ; Wake Me Up When September Ends
Killstation,RiverKinn ; Gully
ryanjacob,aufl ; No Lie
XXXTENTACION ; Jocelyn Flores
G.R.L. ; Ugly Heart
nothing,nowhere. ; Clarity In Kerosene
Kelvyn Colt ; Bury Me Alive
Gabriel Rios ; Gold
Eva & The Heartmaker ; Twenty-four Something
Nae Sano ; Gas - Radio Edit
Travis Scott ; YOSEMITE
Kurt Hugo Schneider ; Not Over You
$uicideBoy$,Pouya ; BREAKDALAW2K16
Rhye ; Hymn
SYML ; WDWGILY
Christina Perri ; Jar of Hearts
Oliver Francis ; Can't Handle My Love
Demi Lovato ; Stone Cold
Nae Sano,Tag Shai ; Pollen Season
Zac Efron,Vanessa Hudgens ; Gotta Go My Own Way - From "High School Musical 2"/Soundtrack Version
nothing,nowhere. ; Letdown
AURORA ; Runaway
Zhavia Ward ; Candlelight
Mark Diamond ; All We've Done (Lost Recording #9)
Kina Grannis ; For Now
fats'e,color hue ; i shouldn't look back w/ scum & lil lotus [prod fats'e]
Birdy ; People Help The People
Glee Cast ; Listen (Glee Cast Version)
333 ; BlueGatoradeVodka
OneRepublic ; Apologize
The Fray ; Be Still
Meadowlark ; Fly - Acoustic
Chris Brown ; So Cold
X Ambassadors ; Renegades
Original God,Swerzie,Xela,Yung Bitch ; Armada (ft. Xela, Yung Bitch, & Swerzie)
Tom Odell ; Another Love - Radio Edit
Katy Perry ; The One That Got Away - Acoustic
MISOGI,Nothing, Nowhere. ; Little Brain
Post Malone ; Leave
Rihanna,Eminem ; Love The Way You Lie (Part II) - Pt. 2
Ilham ; Stuck in the Past
Amigo the Devil ; Cocaine and Abel
Chip ; Oopsy Daisy
Elle Vee ; Fly Low
Michelle Aavitsland ; Strangers in the Night
Ashes Remain ; On My Own
Original God ; Tell Me Why
Kamiyada+,The Virus and Antidote ; ProductOfDrugs (Prod. The Virus and Antidote)
Snow Patrol ; Chasing Cars
Shawn Mendes ; Roses
Adele ; When We Were Young
Tom Rosenthal ; Ian
Selena Gomez ; Same Old Love
King of Little Sweden ; I'll Be Waiting
Green Day ; 21 Guns
Amber Run ; 5AM
Lukas Graham ; 7 Years
EDEN ; and
Denzel Curry,Twelve'len ; If Tomorrow's Not Here - feat. Twelve'len
Bass Santana ; Mix It
XXXTENTACION ; Floor 555
Florence + The Machine ; Never Let Me Go
Lana Del Rey ; Summertime Sadness
Beyoncé ; Pretty Hurts
Azide,Milano The Don ; Pai Mei
Britney Spears ; When I Found You
Staind ; So Far Away
Julia Ross ; It Only Hurts When I'm Awake
Blackbear ; i miss the old u
gin$eng,VELVETEARS ; i'll be okay ft. velvetears
Joshua Radin ; Tomorrow Is Gonna Be Better
Azide,J Swey ; Kami
BONES ; CtrlAltDelete
Harry Styles ; Sign of the Times
$uicideBoy$ ; LTE
Jen Cloher ; Hold My Hand
RHODES ; Sleep Is a Rose
Gary Jules,Michael Andrews ; Mad World (Feat. Michael Andrews)
Train ; Drops of Jupiter
David Archuleta ; Spotlight Down
Bobby Raps ; Desensitized
Staind ; Outside - Original
Clay Aiken ; Invisible
JC Stewart ; Medicine
